GeneId:intron	baseMean	baseMean_Mock_control	baseMean_METTL3_KD	log2FC	pval	padj
ENSG00000196455:19	1.933462e+01	3.151014e+00	3.551822e+01	3.49467126902541	0.000610947221148936	0.0325388724807361
ENSG00000196510:10	4.293968e+02	2.402116e+02	6.185819e+02	1.36465885414888	2.71941800772491e-12	1.0565862415775e-09
ENSG00000196517:13	4.046518e+01	6.728435e+01	1.364600e+01	-2.30179327562255	0.000695968319111693	0.0358238381331747
ENSG00000196517:2	1.941448e+02	2.842204e+02	1.040691e+02	-1.44946828910174	2.64989055058303e-09	6.39923496221145e-07
ENSG00000196644:3	2.183804e+02	3.049124e+02	1.318484e+02	-1.20951441719756	3.05437145480621e-07	4.78500889365599e-05
ENSG00000196663+ENSG00000212330:4	1.416995e+01	2.669971e+01	1.640194e+00	-4.02488553466297	0.000131483668676588	0.00930229299824354
ENSG00000196704:7	4.789907e+03	2.517619e+03	7.062194e+03	1.48805630906109	5.0858672616238e-32	1.31838394089443e-28
ENSG00000196712:30	8.942707e+01	4.090700e+01	1.379471e+02	1.75369615499608	2.53822616599879e-05	0.00233039221828369
ENSG00000196730:21	8.519510e+01	1.440639e+02	2.632630e+01	-2.45213206406808	7.07525223892253e-11	2.18180789488142e-08
ENSG00000196814:9	2.140893e+01	3.709798e+01	5.719879e+00	-2.69728395760881	0.000610646458340872	0.0325388724807361
ENSG00000196912:5	7.723022e+01	1.169232e+02	3.753727e+01	-1.6391654647323	1.40962731698447e-05	0.00139121243543719
ENSG00000196912:9	3.141828e+02	4.787708e+02	1.495949e+02	-1.67827415736363	5.62691489541809e-17	4.02382624486829e-14
ENSG00000196917:5	1.432196e+02	2.145203e+02	7.191894e+01	-1.57667071903855	2.98498098167518e-08	5.87449922638005e-06
ENSG00000196950:10	1.106952e+02	1.521026e+02	6.928780e+01	-1.13437168419754	0.000485606378941668	0.0269896283725087
ENSG00000197065+ENSG00000197275:5	9.673374e+01	1.426215e+02	5.084601e+01	-1.48798458416984	1.30063030782345e-05	0.00129441973958693
ENSG00000197114:2	1.892458e+02	1.166430e+02	2.618486e+02	1.16663376143431	0.000546252976660081	0.0296938249802798
ENSG00000197120:6	4.213123e+02	7.122682e+01	7.713977e+02	3.43698244327677	4.38063978372565e-16	2.81210124467076e-13
ENSG00000197183:13	4.001200e+01	6.316002e+01	1.686399e+01	-1.90506590635859	0.000217132531353695	0.0140660505590408
ENSG00000197208:3	1.570586e+02	2.275865e+02	8.653063e+01	-1.39513196184912	2.29982892044386e-07	3.74069428644429e-05
ENSG00000197226:15	1.655683e+02	7.654850e+01	2.545881e+02	1.73371907189293	5.46350864282405e-09	1.22987508531761e-06
ENSG00000197302:5	1.715164e+02	2.453374e+02	9.769554e+01	-1.32840234146732	4.89117427631282e-07	7.16209512036543e-05
ENSG00000197343:3	9.554544e+01	1.370477e+02	5.404320e+01	-1.34249276773138	8.46447819152538e-05	0.00644170087104049
ENSG00000197343:6	6.268925e+02	8.602380e+02	3.935470e+02	-1.12819979436258	1.1078712118013e-14	5.87221295599628e-12
ENSG00000197375:1	9.842496e+01	5.909889e+01	1.377510e+02	1.22086022058472	0.00103070539523414	0.0490950754783019
ENSG00000197381:10	1.120404e+02	1.731723e+02	5.090841e+01	-1.76623248228966	6.76157562170885e-08	1.2286664205301e-05
ENSG00000197429:1	1.602281e+02	2.332094e+02	8.724673e+01	-1.41845311859292	1.79981949182513e-07	3.0130903428028e-05
ENSG00000197453:2	6.484517e+01	1.288910e+02	7.992975e-01	-7.33320362405133	0.000632647474953945	0.0334583189941853
ENSG00000197465:3	1.663218e+01	3.002557e+01	3.238789e+00	-3.21266530613472	0.00040058448343481	0.023196707902188
ENSG00000197494+ENSG00000221008+ENSG00000214542:1	5.139036e+02	7.628445e+02	2.649626e+02	-1.52560000713849	4.53100303942148e-16	2.89119818558531e-13
ENSG00000197498:6	3.549815e+01	5.619296e+01	1.480334e+01	-1.92446629763966	0.000689028520807984	0.0355560148417194
ENSG00000197520:2	1.310026e+02	8.210824e+01	1.798969e+02	1.13157129003748	0.000392367319831888	0.0227888034064944
ENSG00000197536:3	2.962759e+01	5.067536e+01	8.579819e+00	-2.56226530150012	0.000137690464926161	0.00964161115094989
ENSG00000197555:12	7.285327e+01	1.150257e+02	3.068084e+01	-1.90654633259718	1.88504685862438e-06	0.000242619716084732
ENSG00000197601:4	1.873782e+02	1.191149e+02	2.556415e+02	1.10176778317667	8.78932581728714e-05	0.00665230068609127
ENSG00000197614:1	9.082409e+01	3.898844e+01	1.426597e+02	1.87145986612145	3.79009898723483e-06	0.000449780101844211
ENSG00000197614:2	8.074625e+01	3.292448e+01	1.285680e+02	1.96529960491337	8.0843972247432e-06	0.000859214501712874
ENSG00000197614:4	1.472795e+02	6.631805e+01	2.282410e+02	1.78308448160682	4.90168714118425e-07	7.1711596426017e-05
ENSG00000197657:3	1.631955e+02	2.455965e+02	8.079441e+01	-1.6039625228309	4.34906612471913e-06	0.000506335064109055
ENSG00000197694:22	1.195362e+02	1.654138e+02	7.365867e+01	-1.16715251935233	0.000910842493396891	0.0445413596350623
ENSG00000197694:23	1.738320e+02	2.405269e+02	1.071371e+02	-1.16674085635166	1.04843953822397e-05	0.00106908612876159
ENSG00000197712:10	1.455153e+02	7.318049e+01	2.178501e+02	1.57380505431376	2.50743429382664e-05	0.00230594999491693
ENSG00000197747:1	1.097931e+02	1.579496e+02	6.163653e+01	-1.35760650905246	8.22947078595008e-05	0.00629171484457264
ENSG00000197782:1	1.585843e+02	2.262002e+02	9.096837e+01	-1.31416354698831	1.55752370795877e-06	0.000204429915542082
ENSG00000197813:1	3.968887e+01	6.636020e+01	1.301755e+01	-2.3498596839782	6.48501366185543e-05	0.00513306157708236
ENSG00000197813:3	6.396807e+01	1.099772e+02	1.795894e+01	-2.61443063189496	4.52773693837855e-09	1.04040120363539e-06
ENSG00000197816:34	2.198625e+01	3.907272e+01	4.899782e+00	-2.99537219726648	0.00012378617393594	0.00885580914215964
ENSG00000197818:10	2.014094e+01	3.536130e+01	4.920582e+00	-2.8452704298713	0.000289906831650316	0.0177714653083713
ENSG00000197857+ENSG00000218758:19	5.362705e+02	2.862092e+02	7.863319e+02	1.45806811250115	4.94661953919072e-16	3.13230522148816e-13
ENSG00000197893:7	1.060926e+01	0.000000e+00	2.121852e+01	Inf	0.000667662894662941	0.0348107934871655
ENSG00000197971:12	5.269273e+01	2.179796e+01	8.358749e+01	1.93909366754425	0.000276609450758267	0.0171361517246451
ENSG00000197971:13	1.607257e+02	9.422212e+01	2.272293e+02	1.27001086153014	1.40700706070595e-05	0.00138945297261524
ENSG00000197971:8	2.869825e+02	1.050403e+02	4.689246e+02	2.15841258412238	1.61996243723119e-12	6.55507922405863e-10
ENSG00000198035:9	1.122296e+02	1.508420e+02	7.361707e+01	-1.03492634330847	0.000893548165367085	0.04388947869499
ENSG00000198081:2	2.100942e+01	3.711905e+01	4.899782e+00	-2.92137018151056	0.000241641027480174	0.0154011575194279
ENSG00000198095+ENSG00000144362+ENSG00000213160:4	3.384935e+02	5.033553e+02	1.736318e+02	-1.53554615745664	8.02377851309646e-16	4.96707817327147e-13
ENSG00000198131:2	2.506276e+01	6.785179e+00	4.334034e+01	2.67525183403192	0.00097908516673122	0.0472604438467781
ENSG00000198211:3	4.125688e+01	1.671435e+01	6.579941e+01	1.97698760962889	0.000933028308073923	0.0454205189033733
ENSG00000198276:16	1.967307e+02	1.121057e+02	2.813557e+02	1.32753511101128	1.46374327460856e-06	0.000193037252965547
ENSG00000198315:2	1.694150e+02	2.288330e+02	1.099970e+02	-1.05683088880587	5.28787067722516e-05	0.00433652445296275
ENSG00000198363:21	1.345297e+02	1.984226e+02	7.063680e+01	-1.49008440801445	4.97701849503126e-06	0.000569060838318171
ENSG00000198363:22	9.695459e+01	1.365856e+02	5.732359e+01	-1.25260444865525	0.00028005931588318	0.0173175403437507
ENSG00000198373:11	1.615190e+02	7.845301e+01	2.445850e+02	1.6404353626499	7.4148105145452e-08	1.33566419501097e-05
ENSG00000198466+ENSG00000213758:2	2.456452e+01	4.092807e+01	8.200970e+00	-2.31922406045446	0.000760746280934879	0.0385991381625125
ENSG00000198496:2	2.339339e+02	3.518552e+02	1.160125e+02	-1.6007014344342	2.08633845209335e-12	8.26090440468009e-10
ENSG00000198561:6	1.134084e+02	1.640690e+02	6.274782e+01	-1.38666537081986	2.8922553598505e-05	0.0026120671378369
ENSG00000198589:1	8.308044e+01	3.511621e+01	1.310447e+02	1.89984946243967	7.65576181736143e-06	0.00082049193058626
ENSG00000198604:15	1.331205e+02	1.840397e+02	8.220135e+01	-1.16278301859884	8.35439103306832e-05	0.00637840262287237
ENSG00000198677:16	1.237737e+02	1.741176e+02	7.342988e+01	-1.245622581244	4.58250018934189e-05	0.00385720502999786
ENSG00000198682:1	1.120996e+02	6.199077e+01	1.622083e+02	1.38772274777543	0.000113364643002486	0.00821653461454101
ENSG00000198682:10	7.936426e+01	3.461901e+01	1.241095e+02	1.84197696589716	2.97309343249211e-05	0.0026719831680616
ENSG00000198682:9	2.171484e+02	1.140594e+02	3.202375e+02	1.48935686993598	1.57376541217582e-08	3.22736683487783e-06
ENSG00000198700:13	3.217215e+02	4.460493e+02	1.973938e+02	-1.17612654644175	2.03571590738639e-09	5.04833201642799e-07
ENSG00000198743+ENSG00000214955:2	3.059654e+02	1.961536e+02	4.157773e+02	1.08382722906347	7.85846808043212e-07	0.000110207209502621
ENSG00000198796:3	1.652776e+02	7.530902e+01	2.552463e+02	1.76099539875505	6.50297027830935e-09	1.43086045232445e-06
ENSG00000198796:9	8.214327e+02	1.183357e+03	4.595084e+02	-1.36472236336284	1.50806894266192e-24	2.17560582489899e-21
ENSG00000198802:13	1.214643e+01	2.225302e+01	2.039843e+00	-3.4474713707141	0.000842812252200894	0.0418891323814072
ENSG00000198830:5	6.527795e+01	9.783522e+01	3.272068e+01	-1.58015110476041	0.000151388426399616	0.0104432205793771
ENSG00000198838:101	1.164187e+02	1.656519e+02	6.718555e+01	-1.30193168808727	3.74888629478949e-05	0.00325120351202695
ENSG00000198838:102	7.315497e+01	1.056007e+02	4.070920e+01	-1.37519334082105	0.000487555516280068	0.0270707531368569
ENSG00000198838:105	1.086939e+02	1.535450e+02	6.384277e+01	-1.26606671544369	0.000110303212670715	0.00803603978651819
ENSG00000198838:97	1.086823e+02	1.546792e+02	6.268542e+01	-1.30307698949794	3.37835034541435e-05	0.00297495666510415
ENSG00000198853:1	9.911759e+01	1.477472e+02	5.048796e+01	-1.54911964703126	7.21725465739789e-06	0.000783107532165428
ENSG00000198873:17	2.082040e+01	3.632058e+01	5.320231e+00	-2.77122639937332	0.000246862086509232	0.0156737112897925
ENSG00000198901:1	5.915954e+02	8.093885e+02	3.738023e+02	-1.11455691887197	3.20606775635005e-13	1.42600392774665e-10
ENSG00000198911:10	5.108375e+01	8.282243e+01	1.934508e+01	-2.09805510621912	1.10882340424344e-05	0.00112512683827281
ENSG00000198912:4	3.909005e+01	1.380842e+01	6.437167e+01	2.22087758201874	0.000467867174856875	0.0262622783944237
ENSG00000198945:11	1.178964e+01	0.000000e+00	2.357928e+01	Inf	0.000417116371381942	0.0239782655848059
ENSG00000198945:9	1.201026e+01	0.000000e+00	2.402053e+01	Inf	0.00035485946582532	0.0209884509156092
ENSG00000198947:9	1.679751e+02	2.259903e+02	1.099599e+02	-1.03928371774716	0.000122715744416849	0.00878680745003581
ENSG00000198959:3	8.953170e+01	2.008938e+01	1.589740e+02	2.98428613863822	4.91544948141935e-11	1.53576785454877e-08
ENSG00000200121+ENSG00000154518:1	2.554755e+02	3.434387e+02	1.675122e+02	-1.03578625290414	2.90154303373465e-06	0.000356048517358516
ENSG00000200463+ENSG00000179029:1	2.550231e+01	4.360295e+01	7.401672e+00	-2.558502683681	0.000244899087844753	0.015578887373388
ENSG00000200463+ENSG00000179029:2	7.087682e+01	1.203895e+02	2.136412e+01	-2.49444793261392	2.5030983609636e-09	6.08906203045902e-07
ENSG00000203289:3	2.948413e+02	4.042946e+02	1.853880e+02	-1.12485938076867	1.83930391466689e-08	3.72131556901092e-06
ENSG00000203412+ENSG00000004534:16	1.491447e+02	2.094648e+02	8.882453e+01	-1.23767790291536	9.05747825943576e-06	0.000946790970620881
ENSG00000203485:23	2.898250e+02	3.911941e+02	1.884559e+02	-1.05365763909115	5.84362990877064e-07	8.35311612829465e-05
ENSG00000203666:10	4.488511e+01	6.899294e+01	2.077728e+01	-1.73144219055156	0.000478360866938755	0.0266673324155266
ENSG00000203666:11	4.015497e+02	6.152510e+02	1.878483e+02	-1.71160738328275	8.51618835347232e-22	9.61135858907804e-19
ENSG00000203666:9	2.606966e+02	4.220947e+02	9.929859e+01	-2.08772148817606	4.37785013180164e-19	3.89904658988738e-16
ENSG00000203667:3	1.330034e+03	1.787334e+03	8.727347e+02	-1.03419415490156	3.99793962691191e-10	1.10730246387845e-07
ENSG00000203667:4	1.163680e+02	1.566750e+02	7.606102e+01	-1.04254547060522	0.000848556101200404	0.0421367409199497
ENSG00000203800:1	3.002409e+02	4.298391e+02	1.706426e+02	-1.33281925846998	4.96737305135926e-11	1.54907341863291e-08
ENSG00000203813+ENSG00000196331:5	1.721672e+02	2.414019e+02	1.029326e+02	-1.22973755621651	1.82068329407914e-06	0.000235799095410544
ENSG00000203827:8	1.803804e+02	2.415971e+02	1.191637e+02	-1.01965884602047	0.00029324123428258	0.0178925428700993
ENSG00000203836:8	5.072679e+01	8.299100e+01	1.846258e+01	-2.16835055743052	1.52646214173271e-05	0.00149143801626633
ENSG00000203849:1	1.000247e+02	5.932993e+01	1.407194e+02	1.24598957559076	0.000857736246802264	0.0424908552670895
ENSG00000203880:1	4.701251e+02	6.312652e+02	3.089849e+02	-1.03070995205219	4.63128281283092e-10	1.26581275746277e-07
ENSG00000203950+ENSG00000212747:2	3.588849e+02	5.066468e+02	2.111230e+02	-1.26289669609678	2.24519584801531e-11	7.58629270812897e-09
ENSG00000203995:10	1.151066e+02	1.544270e+02	7.578617e+01	-1.02691891622549	0.000739484676719983	0.0376098914183176
ENSG00000204054:1	1.586857e+03	2.291088e+03	8.826249e+02	-1.37616060224373	2.29006944411916e-40	9.26662636724746e-37
ENSG00000204147:2	3.336237e+01	5.280388e+01	1.392085e+01	-1.92339684700098	0.00102350291403474	0.0488361309893643
ENSG00000204147:3	7.696468e+01	1.137862e+02	4.014315e+01	-1.50309989621805	6.74560979008714e-05	0.00530641842870847
ENSG00000204174:1	5.657200e+01	9.058094e+01	2.256307e+01	-2.00524428856485	1.05972043233588e-05	0.00107860035954755
ENSG00000204177:1	1.468708e+02	1.976030e+02	9.613854e+01	-1.03941831695745	0.000208876858732391	0.0136377435541671
ENSG00000204197:11	8.469677e+02	1.214699e+03	4.792367e+02	-1.34178791986829	1.41895513202499e-24	2.065002914241e-21
ENSG00000204197:8	7.718808e+01	1.177006e+02	3.667557e+01	-1.68223013750231	0.000258455705373998	0.0162919479978351
ENSG00000204237:1	9.618512e+01	1.329444e+02	5.942583e+01	-1.16166098286109	0.000679139160297942	0.0352430100876039
ENSG00000204265:2	1.600866e+01	1.694539e+00	3.032279e+01	4.16143785554007	0.000686306516774281	0.0354707153766107
ENSG00000204267:8	8.181873e+01	1.210756e+02	4.256185e+01	-1.5082756864604	5.05358197943519e-05	0.00417742633142111
ENSG00000204291:32	2.173049e+01	3.854041e+01	4.920582e+00	-2.96947098063585	0.00017573557470509	0.0118806987717495
ENSG00000204370:3	1.056548e+02	1.474459e+02	6.386357e+01	-1.20712112849646	0.000182879619516501	0.0122545057086003
ENSG00000204437:6	1.689130e+01	3.008176e+01	3.700836e+00	-3.02296583260347	0.00064532269628806	0.0339554762464238
ENSG00000204475:5	1.781924e+01	3.197924e+01	3.659237e+00	-3.12752100231796	0.000301325895556127	0.0183117843869391
